country,region,text,date,year,page,extracted_date,full_text
ARGENTINE REPUBLIC,,"Decree No. 13,943/44, to repeal section 32 [hours of work of night watchmen] of Decree No. 562 of 31st December, 1930’, respecting the hours of work of persons engaged in maritime ‘and inland navigation and dock and harbour services. (B.O. 12th June, 1944, No. 14,919, p. 5)",3.6.,1944,3,June 3,"June 3 Decree No. 13,943/44, to repeal section 32 [hours of work of night watchmen] of Decree No. 562 of 31st December, 1930’, respecting the hours of work of persons engaged in maritime ‘and inland navigation and dock and harbour services. (B.O. 12th June, 1944, No. 14,919, p. 5) "
ARGENTINE REPUBLIC,,"Decrees No. 24,335/44 and 24,336/44, (1) to amend Act No. 11,933 of 15th October, 1934’, respecting the employment of women before and after confinement [by adding a paragraph to section 2 with respect to allowances], and (2) to amend section 42 of Decree No. 80,229 of 15th April, 1936°, issuing regulations under Act No. 11,933 of 15th October, 1934. (B.O. 20th September, 1944, No. 15,000, pp. 9-10)",11.9.,1944,3,Sept. 11,"Sept. 11 Decrees No. 24,335/44 and 24,336/44, (1) to amend Act No. 11,933 of 15th October, 1934’, respecting the employment of women before and after confinement [by adding a paragraph to section 2 with respect to allowances], and (2) to amend section 42 of Decree No. 80,229 of 15th April, 1936°, issuing regulations under Act No. 11,933 of 15th October, 1934. (B.O. 20th September, 1944, No. 15,000, pp. 9-10) "
ARGENTINE REPUBLIC,,"Decree No. 29,830/44, to amend certain sections of Act No. 12,637 of 10th September, 1940*, respecting security of tenure and salary scales for employees of private banks. (B.O. 4th December, 1944, No. 15,061, p. 19)",4.11.,1944,3,Nov. 4,"Nov. 4 Decree No. 29,830/44, to amend certain sections of Act No. 12,637 of 10th September, 1940*, respecting security of tenure and salary scales for employees of private banks. (B.O. 4th December, 1944, No. 15,061, p. 19) "
AUSTRALIA,,"An Act to,amend the Invalid and Old-age Pensions Act 1908-1943*. No. 16 of 1944. Invalid and Old-age Pensions Act 1944",6.4.,1944,3,Apr. 6,"Apr. 6 An Act to,amend the Invalid and Old-age Pensions Act 1908-1943*. No. 16 of 1944. Invalid and Old-age Pensions Act 1944. "
AUSTRALIA,,"Amendment of the National Security (Industrial Peace) Regula- tions®: inserts definition of “organization” in sub-regulation (1) of regulation 2. Statutory Rules 1944, No. 191. STATES",21.12.,1944,3,Dec. 21,"Dec. 21 Amendment of the National Security (Industrial Peace) Regula- tions®: inserts definition of “organization” in sub-regulation (1) of regulation 2. Statutory Rules 1944, No. 191. STATES "
AUSTRALIA,New South Wales,"An Act to provide for the payment of compensation to persons who receive injury or suffer loss arising out of or in the course of fighting bush fires; to amend the Workers’ Compensation Act, 1926-1942"", and for purposes connected therewith. No. 32 of 1944. Workers’ Compensation (Bush Fire Fighters) Act. 1944",8.12.,1944,3,Dec. 8,"Dec. 8 An Act to provide for the payment of compensation to persons who receive injury or suffer loss arising out of or in the course of fighting bush fires; to amend the Workers’ Compensation Act, 1926-1942"", and for purposes connected therewith. No. 32 of 1944. Workers’ Compensation (Bush Fire Fighters) Act. 1944. "
AUSTRALIA,New South Wales,B.O. = Boletin Oficial de la Reptblica Argentina,,,3,,B.O. = Boletin Oficial de la Reptblica Argentina. 
AUSTRALIA,New South Wales,"L.S. 1930: (Arg. 3, B). — ?L.S. 1934 (Arg. 1, B). — *L.S. 1936 (Arg. 1, A). — ‘L.S. 1940 (Arg. 3). — *L.S. 1923 (Austral. 7); 1928 (Austral. 4); 1931 (Austral. 14); 1932 (Austral. 4 and 10); 1933 (Austral. 8); 1935 (Austral. 5); 1936 (Austral. 4); 1937 (Austral. 1); 1941 (Austral. 4); also Act No. 3 of",,,3,,"L.S. 1930: (Arg. 3, B). — ?L.S. 1934 (Arg. 1, B). — *L.S. 1936 (Arg. 1, A). — ‘L.S. 1940 (Arg. 3). — *L.S. 1923 (Austral. 7); 1928 (Austral. 4); 1931 (Austral. 14); 1932 (Austral. 4 and 10); 1933 (Austral. 8); 1935 (Austral. 5); 1936 (Austral. 4); 1937 (Austral. 1); 1941 (Austral. 4); also Act No. 3 of "
AUSTRALIA,New South Wales,1942 and Act No. 14 of 1943,,,3,,1942 and Act No. 14 of 1943. 
AUSTRALIA,New South Wales,"L.S. 1941 (Austral. 1 and 3); 1942 (Austral. 3); also S.R. 1943, Nos. 40 and 156. — *L.S. 1926 (Austral. 5); 1927 (Austral. 3); 1929 (Austral. 9); 1937 (Austral. 2, A, p. 12); 1938 (Austral. 5, Part III); also section 2, subsection (3), of Act No. 26 of 1941 and Act No. 13 of 1942. — °L.S. 1922 (Austral. 2)",,,3,,"L.S. 1941 (Austral. 1 and 3); 1942 (Austral. 3); also S.R. 1943, Nos. 40 and 156. — *L.S. 1926 (Austral. 5); 1927 (Austral. 3); 1929 (Austral. 9); 1937 (Austral. 2, A, p. 12); 1938 (Austral. 5, Part III); also section 2, subsection (3), of Act No. 26 of 1941 and Act No. 13 of 1942. — °L.S. 1922 (Austral. 2); "
AUSTRALIA,New South Wales,1944—-Indexes I —4—,,,4,,1944—-Indexes I —4— 
AUSTRALIA,Queensland,"An Act to suspend certain provisions of the Unemployed Workers Insurance Acts, 1922 to 1936°, and for purposes incidental thereto. 8 Geo. VI, No. 14. The Unemployed Workers Insurance Acts Amendment Act of 1944",1.12.,1944,4,Dec. 1,"Dec. 1 An Act to suspend certain provisions of the Unemployed Workers Insurance Acts, 1922 to 1936°, and for purposes incidental thereto. 8 Geo. VI, No. 14. The Unemployed Workers Insurance Acts Amendment Act of 1944. "
AUSTRALIA,Queensland,"An Act to amend the Workers’ Compensation Acts, 1916 to 1943°, in certain particulars [compensation for certain diseases and liability for hospital and medical treatment]. 9 Geo. VI, No. 2. The Workers’ Compensation Acts Amendment Act of 1944",14.12.,1944,4,Dec. 14,"Dec. 14 An Act to amend the Workers’ Compensation Acts, 1916 to 1943°, in certain particulars [compensation for certain diseases and liability for hospital and medical treatment]. 9 Geo. VI, No. 2. The Workers’ Compensation Acts Amendment Act of 1944.. "
AUSTRALIA,Queensland,"An Act to provide that persons who, during war, have been members of fighting forces shal] receive preference in employment, and to amend The Industrial Conciliation and Arbitration Acts, 1932 to 1942°, in certain particulars. 9 Geo. VI, No. 4. The Industrial Conciliation and Arbitration Acts (War Preference in Employment) Act of 1944",14.12.,1944,4,Dec. 14,"Dec. 14 An Act to provide that persons who, during war, have been members of fighting forces shal] receive preference in employment, and to amend The Industrial Conciliation and Arbitration Acts, 1932 to 1942°, in certain particulars. 9 Geo. VI, No. 4. The Industrial Conciliation and Arbitration Acts (War Preference in Employment) Act of 1944. "
AUSTRALIA,South Australia,"An Act to amend the Workmen’s Compensation Act, 1932-1943"". No. 33 of 1944. Workmen's Compensation Act Amendment Act, 1944",14.12.,1944,4,Dec. 14,"Dec. 14 An Act to amend the Workmen’s Compensation Act, 1932-1943"". No. 33 of 1944. Workmen's Compensation Act Amendment Act, 1944. "
AUSTRALIA,Tasmania,"An Act to amend [section 36 of] the Workers’ (Occupational Diseases) Relief Fund Act 1928” [inserts words “or treatment” after word “examination”, wherever occurring]. 7 and 8 Geo. VI, No. 76",27.4.,1944,4,Apr. 27,"Apr. 27 An Act to amend [section 36 of] the Workers’ (Occupational Diseases) Relief Fund Act 1928” [inserts words “or treatment” after word “examination”, wherever occurring]. 7 and 8 Geo. VI, No. 76. "
BELGIUM,,"Legislative Order to amend sections 26 and 28 of the Act of 5th June, 1928, to issue regulations for seamen’s agreements”. (Moni- teur belge — Belgisch Staatsblad, 20th May, 1944, No. 9, p. 224)",25.3.,1944,4,Mar. 25,"Mar. 25 Legislative Order to amend sections 26 and 28 of the Act of 5th June, 1928, to issue regulations for seamen’s agreements”. (Moni- teur belge — Belgisch Staatsblad, 20th May, 1944, No. 9, p. 224) "
BOLIVIA,,"Act to fix a date for the calculation of the period of service for the purpose of the payment of compensation in the event of voluntary resignation [repeals (d) and (f) of section 16 of the Gene Labour Act™J. (Proteccién Social, February 1945, No. 85",23.11.,1944,4,Nov. 23,"Nov. 23 Act to fix a date for the calculation of the period of service for the purpose of the payment of compensation in the event of voluntary resignation [repeals (d) and (f) of section 16 of the Gene Labour Act™J. (Proteccién Social, February 1945, No. 85, "
BOLIVIA,,"Act to make an addition to section 88 of the General Labour Act™, with respect to compensation in case of death resulting from an industrial accident or occupational disease. (Leyes Sociales de Bolivia, 1944, pp. 93-94) 1927 (Austral. 5); 1930 (Austral. 8) ; 1931 (Austral. 2); 1933 (Austral. 3); and Act of 11th December, 1936 (1 Edw. VIII, No. 25). — °L.S. 1925 (Austral. 5); 1926 (Austral. 8); 1929 (Austral. 8); 1933 (Austral. 4); 1934 (Austral. 8); 1935 (Austral. 8); 1936 (Austral. 5); 1939 (Austral. 2); also Acts of 12th December, 1941, 29th April, 1943 and 25th November, 1943 (6 Geo. VI, No. 6",29.12.,1944,4,Dec. 29,"Dec. 29 Act to make an addition to section 88 of the General Labour Act™, with respect to compensation in case of death resulting from an industrial accident or occupational disease. (Leyes Sociales de Bolivia, 1944, pp. 93-94) 1927 (Austral. 5); 1930 (Austral. 8) ; 1931 (Austral. 2); 1933 (Austral. 3); and Act of 11th December, 1936 (1 Edw. VIII, No. 25). — °L.S. 1925 (Austral. 5); 1926 (Austral. 8); 1929 (Austral. 8); 1933 (Austral. 4); 1934 (Austral. 8); 1935 (Austral. 8); 1936 (Austral. 5); 1939 (Austral. 2); also Acts of 12th December, 1941, 29th April, 1943 and 25th November, 1943 (6 Geo. VI, No. 6, "
BOLIVIA,,"Geo. VI, No. 9 and No. 37)",7.1.,1944,4,and 7,"and 7 Geo. VI, No. 9 and No. 37). . "
